legacy_url,http_status,lastmod,category,title,has_meta_description,proposed_target_tr,mapping_confidence,redirect_type,decision_owner,notes
https://duosis.com/,200,2024-08-07,core,Duosis - Duosis,yes,/,high,301,Duosis içerik/SEO sahibi,
https://duosis.com/aiops/,200,2024-08-05,solution,AIOPS - Duosis,yes,/cozumler/ (eslesme S02 onayi bekliyor),low,301,Duosis içerik/SEO sahibi,
https://duosis.com/apm/,200,2024-08-05,expertise,APM - Duosis,yes,/cozumler/ (eslesme S02 onayi bekliyor),low,301,Duosis içerik/SEO sahibi,
https://duosis.com/ardoq/,200,2026-02-20,partner/technology,Ardoq - Duosis,yes,/teknolojiler/,medium,301,Duosis içerik/SEO sahibi,
https://duosis.com/atm-ve-kiosk-otomasyonu/,200,2024-06-23,blog post,ATM Ve Kiosk Otomasyonu,yes,/icgoruler/[slug]/,medium,301,Duosis içerik/SEO sahibi,
https://duosis.com/atm-ve-kiosk-uygulamalari/,200,2024-08-05,solution,ATM ve Kiosk Uygulamaları - Duosis,yes,/cozumler/ (eslesme S02 onayi bekliyor),low,301,Duosis içerik/SEO sahibi,
https://duosis.com/atm-yonetiminin-operasyonel-zorluklarini-kolaylastiran-duosis-atm-otomasyonu-cozumu/,200,2024-06-23,blog post,Duosis ATM Otomasyonu Çözümü!,yes,/icgoruler/[slug]/,medium,301,Duosis içerik/SEO sahibi,
https://duosis.com/basvuru-formu/,200,2024-06-17,careers,Başvuru Formu - Duosis,NO,DECISION NEEDED (yeni rota haritasinda kariyer rotasi yok),none,301,Duosis içerik/SEO sahibi,
https://duosis.com/bilgi-guvenligi-yonetim-sistemi-politikamiz/,200,2024-08-05,policy,Bilgi Güvenliği Yönetim Sistemi Politikamız - Duosis,NO,DECISION NEEDED,low,301,Duosis içerik/SEO sahibi,
https://duosis.com/blog/,200,,core,Blog arşivleri - Duosis,NO,/icgoruler/,high,301,Duosis içerik/SEO sahibi,
https://duosis.com/butunlesik-izleme-ve-raporlama/,200,2024-08-05,solution,Bütünleşik İzleme ve Raporlama - Duosis,yes,/cozumler/ (eslesme S02 onayi bekliyor),low,301,Duosis içerik/SEO sahibi,
https://duosis.com/compliance-and-security-vulnerability/,200,2024-08-05,solution,Compliance and Security Vulnerability - Duosis,yes,/cozumler/ (eslesme S02 onayi bekliyor),low,301,Duosis içerik/SEO sahibi,
https://duosis.com/confluent/,200,2025-02-17,partner/technology,Confluent - Duosis,yes,/teknolojiler/,medium,301,Duosis içerik/SEO sahibi,
https://duosis.com/danismanlik/,200,2024-08-05,service,Danışmanlık - Duosis,yes,/hizmetler/,medium,301,Duosis içerik/SEO sahibi,
https://duosis.com/datadog/,200,2024-07-22,partner/technology,DataDog - Duosis,NO,/teknolojiler/,medium,301,Duosis içerik/SEO sahibi,
https://duosis.com/destek/,200,2024-08-05,service,Destek - Duosis,yes,/hizmetler/,medium,301,Duosis içerik/SEO sahibi,
https://duosis.com/device42/,200,2024-07-29,partner/technology,Device42 - Duosis,NO,/teknolojiler/,medium,301,Duosis içerik/SEO sahibi,
