id,officialName,currentSiteLabel,group,source,active,decisionNeeded,logoPermission,licenseModel,officialUrl,mappedSolutionArea,note
datadog,Datadog,DataDog,observability|apm,"site+plan+brief+sunum(S8,S12)",unknown,no,unknown,not-assessed,https://www.datadoghq.com/,1 Observability,"Sunumda ITOM ve Yapay Zeka slaytlarinda logo ile yer aliyor. Site yazimi 'DataDog', dogrusu 'Datadog'"
ardoq,Ardoq,Ardoq,enterprise-architecture,"site+plan+brief+sunum(S8,S9)",unknown,no,unknown,not-assessed,https://www.ardoq.com/,5 Governance / EA,Sunumda EA slaytinin tek teknolojisi. Sitedeki en guncel sayfa (2026-02-20)
device42,Device42,Device42,cmdb|itam,"site+plan+brief+sunum(S8,S11,S15)",unknown,no,unknown,not-assessed,https://www.device42.com/,2 Configuration Management / CMDB,Sunumda ITAM ve CMDB slaytlarinda
freshservice,Freshservice,-,itsm,"plan+brief+sunum(S8,S10,S11,S15,S16)",unknown,no,unknown,not-assessed,https://www.freshworks.com/freshservice/,3 ITSM,Mevcut sitede YOK ama sunumda 5 slaytta logo ile var - en yaygin kullanilan ITSM araci
zabbix,Zabbix,Zabbix,observability,"site+plan+brief+sunum(S12,S16)",unknown,no,unknown,not-assessed,https://www.zabbix.com/,1 Observability,Sunumda ITOM ve Otomasyon slaytlarinda
grafana,Grafana,Grafana,observability|visualization,"site+brief+sunum(S12,S13)",unknown,no,unknown,not-assessed,https://grafana.com/,1 Observability,Plan paketinin 8 cozum listesinde YOK; brief ve sunum ikisinde de var - plan paketi guncellenmeli
opentelemetry,OpenTelemetry,-,observability|standard,plan+brief+sunum(S12),unknown,no,unknown,open-source,https://opentelemetry.io/,1 Observability,Sunumda ITOM slaytinda logo ile
instana,IBM Instana,Instana,apm,site+plan+brief+sunum(S12),unknown,no,unknown,not-assessed,https://www.ibm.com/products/instana,1 Observability,Sunum logosu 'an IBM Company' ibaresi tasiyor
confluent,Confluent,Confluent,data-streaming,"site+plan+brief+sunum(S13,S14)",unknown,no,unknown,not-assessed,https://www.confluent.io/,4 Data Streaming & Integration,Sunumda Data Streaming slaytinin ana teknolojisi
opentext,OpenText,Opentext,cmdb|itsm|automation,site+plan+brief+sunum(S15),unknown,yes,unknown,not-assessed,https://www.opentext.com/,2 Configuration Management / CMDB,Sunumda YALNIZCA CMDB slaytinda. Sitede 4 sayfada hala 'Micro Focus' adi geciyor; hangi OpenText urunu oldugu belirsiz
jira,Atlassian Jira Software,-,itsm|issue-tracking,sunum(S10),unknown,yes,unknown,not-assessed,https://www.atlassian.com/software/jira,3 ITSM,"YENI: Ne sitede, ne plan paketinde, ne brief'te var. Yalnizca sunum ITSM slaytinda logo ile"
glpi,GLPI,-,itsm|itam,"sunum(S10,S11,S15)",unknown,yes,unknown,not-assessed,https://glpi-project.org/,3 ITSM,YENI: Yalnizca sunumda; 3 slaytta logo ile. Acik kaynak ITSM/ITAM araci
tableau,Tableau,-,bi|visualization,sunum(S13),unknown,yes,unknown,not-assessed,https://www.tableau.com/,4 Data Streaming & Integration,YENI: Yalnizca sunum Buyuk Veri slaytinda. BI/raporlama katmani plan paketinde tanimli degil
ansible,Red Hat Ansible,-,automation,plan+sunum(S16),unknown,no,unknown,not-assessed,https://www.redhat.com/en/technologies/management/ansible,7 Automation,Sunumda Otomasyon slaytinda 'Red Hat Ansible' logosu ile. Sitede yalnizca /is-ilanlari/ sayfasinda anilliyor
solarwinds,SolarWinds,-,observability,brief-only,unknown,yes,unknown,not-assessed,https://www.solarwinds.com/,1 Observability,KARAR GEREKCESI: Brief 'Eskiyenler' listesinde acikca sayiyor - kapsamdan cikarma karari gerekli. YENI: Brief'te 'Eskiyenler' listesinde - karar pazarlamada. Sitede ve sunumda YOK
runzero,runZero,-,asset-discovery,brief-only,unknown,yes,unknown,not-assessed,https://www.runzero.com/,2 Configuration Management / CMDB,KARAR GEREKCESI: Brief 'Eskiyenler' listesinde acikca sayiyor - kapsamdan cikarma karari gerekli. YENI: Brief'te 'Eskiyenler' listesinde - karar pazarlamada. Sitede ve sunumda YOK
kron,Kron Technologies,Kron Teknoloji,pam|security,site+brief,unknown,yes,unknown,not-assessed,https://krontech.com/,DECISION NEEDED,"KARAR GEREKCESI: Brief 'Eskiyenler' listesinde acikca sayiyor - kapsamdan cikarma karari gerekli. Brief'te acikca 'Eskiyenler' listesinde. Sitede partner sayfasi var, sunumda YOK"
pandora-fms,Pandora FMS,Pandora FMS,observability,site+brief,unknown,yes,unknown,not-assessed,https://pandorafms.com/,1 Observability,Brief'te cozum 1'de anilliyor ama sunumda logo YOK
stor2rrd,STOR2RRD,Stor2RRD,observability|storage,site+brief,unknown,yes,unknown,not-assessed,https://www.stor2rrd.com/,1 Observability,Brief'te cozum 1'de anilliyor ama sunumda logo YOK
vertica,OpenText Vertica,Vertica,data-platform,site+brief,unknown,yes,unknown,not-assessed,https://www.vertica.com/,4 Data Streaming & Integration,Brief cozum 6'da anilliyor; sunumda logo YOK. Artik OpenText bunyesinde
postgresql,PostgreSQL,Postgre SQL,database,site+brief,unknown,yes,unknown,not-assessed,https://www.postgresql.org/,4 Data Streaming & Integration,Sitede 'Postgre SQL'/'Postgre' yazimlari karisik; sunumda logo YOK
quest,Quest Software,Quest,database|security,site+plan,unknown,yes,unknown,not-assessed,https://www.quest.com/,DECISION NEEDED,"KARAR GEREKCESI: Hangi Quest urunu oldugu belirsiz (Change Auditor mi, genel Quest mi) - urun kapsami karari gerekli. Plan 'Quest Change Auditor' diyor, site genel 'Quest'. Sunumda ve brief'te YOK - hangi urun belirsiz"
